student_id,name,selected_subjects,status,issues
1027,Ivan Miller,"English, Life Orientation, Mathematical Literacy, Business Studies, Accounting, Computer Applications Technology, Life Sciences",Invalid,Learner is not eligible for Business Studies. | Learner is not eligible for Accounting. | Learner is not eligible for Life Sciences.
1028,Alice Thomas,"English, Life Orientation, Mathematics, Accounting, History, Geography, Life Sciences",Invalid,Learner is not eligible for Mathematics.
1029,Ivan Gonzalez,"English, Life Orientation, Mathematical Literacy, Life Sciences, Physical Sciences, Information Technology, Computer Applications Technology",Invalid,Learner is not eligible for Life Sciences. | Learner is not eligible for Physical Sciences.
1030,Quentin Wilson,"English, Life Orientation, Mathematics, Physical Sciences, Computer Applications Technology, Information Technology, History",Invalid,Learner is not eligible for Physical Sciences. | Learner is not eligible for Information Technology. | Learner is not eligible for History.
1031,Ivan Garcia,"English, Life Orientation, Mathematics, Business Studies, Visual Arts, Physical Sciences, Geography",Invalid,Learner is not eligible for Business Studies. | Learner is not eligible for Physical Sciences. | Learner is not eligible for Geography.
1032,Grace Johnson,"English, Life Orientation, Mathematical Literacy, Geography, History, Information Technology, Accounting",Invalid,Learner is not eligible for Information Technology.
1033,Judy Gonzalez,"English, Life Orientation, Mathematical Literacy, Business Studies, Physical Sciences, Visual Arts, Accounting",Invalid,Learner is not eligible for Business Studies. | Learner is not eligible for Physical Sciences. | Learner is not eligible for Accounting.
1034,David Rodriguez,"English, Life Orientation, Mathematical Literacy, Physical Sciences, Business Studies, Accounting, Computer Applications Technology",Invalid,Learner is not eligible for Physical Sciences. | Learner is not eligible for Business Studies. | Learner is not eligible for Accounting. | Learner is not eligible for Computer Applications Technology.
1035,Grace Hernandez,"English, Life Orientation, Mathematics, Physical Sciences, Computer Applications Technology, Business Studies, Life Sciences",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Physical Sciences. | Learner is not eligible for Computer Applications Technology. | Learner is not eligible for Life Sciences.
1036,Mallory Rodriguez,"English, Life Orientation, Mathematical Literacy, History, Geography, Life Sciences, Physical Sciences",Invalid,Learner is not eligible for Life Sciences. | Learner is not eligible for Physical Sciences.
1037,Grace Lopez,"English, Life Orientation, Mathematics, Physical Sciences, History, Computer Applications Technology, Business Studies",Invalid,Learner is not eligible for Physical Sciences. | Learner is not eligible for Business Studies.
1038,Heidi Miller,"English, Life Orientation, Mathematics, Accounting, Life Sciences, Information Technology, Physical Sciences",Invalid,Learner is not eligible for Life Sciences. | Learner is not eligible for Physical Sciences.
1039,Peggy Hernandez,"English, Life Orientation, Mathematics, History, Business Studies, Life Sciences, Accounting",Invalid,Learner is not eligible for Mathematics.
1040,Trudy Johnson,"English, Life Orientation, Mathematical Literacy, Business Studies, History, Information Technology, Geography",Invalid,Learner is not eligible for Information Technology.
1041,Charlie Rodriguez,"English, Life Orientation, Mathematics, Geography, Physical Sciences, Information Technology, History",Invalid,Learner is not eligible for Physical Sciences.
1042,Ivan Anderson,"English, Life Orientation, Mathematical Literacy, Information Technology, Accounting, Computer Applications Technology, Life Sciences",Invalid,Learner is not eligible for Information Technology. | Learner is not eligible for Accounting.
1043,Oscar Jones,"English, Life Orientation, Mathematical Literacy, Business Studies, Physical Sciences, Information Technology, Visual Arts",Invalid,Learner is not eligible for Physical Sciences.
1044,Frank Rodriguez,"English, Life Orientation, Mathematics, History, Visual Arts, Information Technology, Geography",Valid,
1045,Frank Taylor,"English, Life Orientation, Mathematics, Geography, Visual Arts, Accounting, Physical Sciences",Valid,
1046,Judy Martinez,"English, Life Orientation, Mathematics, Geography, Business Studies, Information Technology, Physical Sciences",Invalid,Learner is not eligible for Geography. | Learner is not eligible for Business Studies.
1047,Leo Davis,"English, Life Orientation, Mathematics, Physical Sciences, Life Sciences, Accounting, Computer Applications Technology",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Physical Sciences. | Learner is not eligible for Life Sciences. | Learner is not eligible for Computer Applications Technology.
1048,Karl Williams,"English, Life Orientation, Mathematics, Computer Applications Technology, Information Technology, Accounting, Physical Sciences",Invalid,Learner is not eligible for Physical Sciences.
1049,Rita Martinez,"English, Life Orientation, Mathematics, Computer Applications Technology, Business Studies, Life Sciences, Information Technology",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Computer Applications Technology. | Learner is not eligible for Information Technology.
1050,Nina Thomas,"English, Life Orientation, Mathematics, Computer Applications Technology, Geography, Physical Sciences, Business Studies",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Computer Applications Technology. | Learner is not eligible for Physical Sciences.
1051,Peggy Smith,"English, Life Orientation, Mathematical Literacy, Information Technology, Accounting, Computer Applications Technology, Physical Sciences",Invalid,Learner is not eligible for Information Technology. | Learner is not eligible for Computer Applications Technology. | Learner is not eligible for Physical Sciences.
1052,Alice Gonzalez,"English, Life Orientation, Mathematics, Life Sciences, Information Technology, Visual Arts, Accounting",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Life Sciences. | Learner is not eligible for Information Technology. | Learner is not eligible for Accounting.
1053,Mallory Thomas,"English, Life Orientation, Mathematical Literacy, Geography, Computer Applications Technology, Physical Sciences, Life Sciences",Invalid,Learner is not eligible for Physical Sciences. | Learner is not eligible for Life Sciences.
1054,Sam Gonzalez,"English, Life Orientation, Mathematical Literacy, Computer Applications Technology, Life Sciences, Visual Arts, Geography",Invalid,Learner is not eligible for Computer Applications Technology. | Learner is not eligible for Life Sciences.
1055,Quentin Jackson,"English, Life Orientation, Mathematical Literacy, Computer Applications Technology, Geography, Information Technology, History",Valid,
1056,Eve Johnson,"English, Life Orientation, Mathematics, Geography, Accounting, Computer Applications Technology, Business Studies",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Geography. | Learner is not eligible for Computer Applications Technology.
1057,Frank Taylor,"English, Life Orientation, Mathematics, Physical Sciences, Accounting, Life Sciences, Computer Applications Technology",Invalid,Learner is not eligible for Physical Sciences. | Learner is not eligible for Life Sciences.
1058,Charlie Anderson,"English, Life Orientation, Mathematical Literacy, Business Studies, History, Accounting, Information Technology",Invalid,Learner is not eligible for Information Technology.
1059,Ivan Taylor,"English, Life Orientation, Mathematics, History, Geography, Visual Arts, Business Studies",Invalid,Learner is not eligible for History. | Learner is not eligible for Geography.
1060,Sam Miller,"English, Life Orientation, Mathematics, Visual Arts, Physical Sciences, Information Technology, Geography",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Physical Sciences. | Learner is not eligible for Information Technology.
1061,Ivan Williams,"English, Life Orientation, Mathematical Literacy, Information Technology, Accounting, Visual Arts, Computer Applications Technology",Valid,
1062,Grace Gonzalez,"English, Life Orientation, Mathematics, Information Technology, Business Studies, Visual Arts, Accounting",Valid,
1063,Frank Smith,"English, Life Orientation, Mathematical Literacy, Geography, Information Technology, Visual Arts, Life Sciences",Invalid,Learner is not eligible for Life Sciences.
1064,Bob Garcia,"English, Life Orientation, Mathematical Literacy, Accounting, Life Sciences, Business Studies, Geography",Invalid,Learner is not eligible for Accounting. | Learner is not eligible for Life Sciences. | Learner is not eligible for Geography.
1065,Trudy Taylor,"English, Life Orientation, Mathematics, Life Sciences, Geography, Information Technology, Visual Arts",Invalid,Learner is not eligible for Information Technology. | Learner is not eligible for Visual Arts.
1066,Frank Brown,"English, Life Orientation, Mathematical Literacy, Geography, Visual Arts, Information Technology, Computer Applications Technology",Invalid,Learner is not eligible for Geography. | Learner is not eligible for Visual Arts.
1067,Charlie Garcia,"English, Life Orientation, Mathematics, Information Technology, Life Sciences, Geography, Visual Arts",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Information Technology.
1068,Nina Hernandez,"English, Life Orientation, Mathematics, Business Studies, Geography, Computer Applications Technology, Accounting",Invalid,Learner is not eligible for Business Studies. | Learner is not eligible for Accounting.
1069,Grace Hernandez,"English, Life Orientation, Mathematics, Computer Applications Technology, Geography, Visual Arts, Business Studies",Invalid,Learner is not eligible for Business Studies.
1070,Alice Garcia,"English, Life Orientation, Mathematical Literacy, Physical Sciences, Information Technology, Geography, Accounting",Invalid,Learner is not eligible for Physical Sciences. | Learner is not eligible for Accounting.
1071,Ivan Rodriguez,"English, Life Orientation, Mathematical Literacy, Visual Arts, Life Sciences, Accounting, Information Technology",Invalid,Learner is not eligible for Life Sciences. | Learner is not eligible for Accounting.
1072,Alice Johnson,"English, Life Orientation, Mathematics, History, Geography, Physical Sciences, Visual Arts",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Physical Sciences. | Learner is not eligible for Visual Arts.
1073,Peggy Davis,"English, Life Orientation, Mathematical Literacy, Accounting, Geography, Computer Applications Technology, Physical Sciences",Invalid,Learner is not eligible for Accounting. | Learner is not eligible for Computer Applications Technology.
1074,Alice Jones,"English, Life Orientation, Mathematical Literacy, History, Business Studies, Accounting, Information Technology",Invalid,Learner is not eligible for History. | Learner is not eligible for Information Technology.
1075,Nina Thomas,"English, Life Orientation, Mathematical Literacy, Life Sciences, Business Studies, Physical Sciences, Computer Applications Technology",Invalid,Learner is not eligible for Life Sciences. | Learner is not eligible for Physical Sciences. | Learner is not eligible for Computer Applications Technology.
1076,Karl Gonzalez,"English, Life Orientation, Mathematics, Business Studies, Geography, Accounting, Computer Applications Technology",Invalid,Learner is not eligible for Geography.
1077,Grace Brown,"English, Life Orientation, Mathematics, Life Sciences, History, Physical Sciences, Computer Applications Technology",Valid,
1078,Nina Thomas,"English, Life Orientation, Mathematical Literacy, Information Technology, Physical Sciences, Visual Arts, History",Valid,
1079,Trudy Lopez,"English, Life Orientation, Mathematical Literacy, History, Physical Sciences, Information Technology, Geography",Invalid,Learner is not eligible for Physical Sciences. | Learner is not eligible for Information Technology.
1080,Heidi Wilson,"English, Life Orientation, Mathematics, Business Studies, Life Sciences, Physical Sciences, History",Invalid,Learner is not eligible for Business Studies.
1081,Sam Jackson,"English, Life Orientation, Mathematical Literacy, History, Life Sciences, Computer Applications Technology, Geography",Invalid,Learner is not eligible for Life Sciences.
1082,Judy Gonzalez,"English, Life Orientation, Mathematics, Information Technology, History, Computer Applications Technology, Visual Arts",Invalid,Learner is not eligible for History. | Learner is not eligible for Visual Arts.
1083,Peggy Lopez,"English, Life Orientation, Mathematical Literacy, Accounting, Information Technology, Computer Applications Technology, Visual Arts",Invalid,Learner is not eligible for Information Technology. | Learner is not eligible for Computer Applications Technology.
1084,Leo Hernandez,"English, Life Orientation, Mathematics, Physical Sciences, Geography, Business Studies, Life Sciences",Valid,
1085,Trudy Martinez,"English, Life Orientation, Mathematics, Geography, Information Technology, Visual Arts, Physical Sciences",Invalid,Learner is not eligible for Information Technology.
1086,Frank Davis,"English, Life Orientation, Mathematics, Business Studies, Visual Arts, History, Life Sciences",Valid,
1087,Oscar Thomas,"English, Life Orientation, Mathematical Literacy, History, Visual Arts, Information Technology, Geography",Invalid,Learner is not eligible for Visual Arts. | Learner is not eligible for Information Technology.
1088,Nina Jackson,"English, Life Orientation, Mathematical Literacy, Visual Arts, Information Technology, History, Life Sciences",Invalid,Learner is not eligible for Visual Arts. | Learner is not eligible for Information Technology. | Learner is not eligible for History. | Learner is not eligible for Life Sciences.
1089,Charlie Moore,"English, Life Orientation, Mathematical Literacy, Life Sciences, Business Studies, Visual Arts, Geography",Invalid,Learner is not eligible for Life Sciences.
1090,David Lopez,"English, Life Orientation, Mathematics, Accounting, Visual Arts, Life Sciences, Business Studies",Valid,
1091,Nina Taylor,"English, Life Orientation, Mathematical Literacy, Computer Applications Technology, Geography, Business Studies, Information Technology",Invalid,Learner is not eligible for Business Studies.
1092,Trudy Moore,"English, Life Orientation, Mathematics, History, Information Technology, Accounting, Physical Sciences",Invalid,Learner is not eligible for History.
1093,Ivan Rodriguez,"English, Life Orientation, Mathematics, Visual Arts, Geography, Life Sciences, Computer Applications Technology",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Visual Arts. | Learner is not eligible for Computer Applications Technology.
1094,Ivan Martinez,"English, Life Orientation, Mathematical Literacy, Accounting, Life Sciences, Geography, Information Technology",Valid,
1095,Eve Davis,"English, Life Orientation, Mathematics, Physical Sciences, History, Information Technology, Geography",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for History. | Learner is not eligible for Information Technology. | Learner is not eligible for Geography.
1096,Peggy Gonzalez,"English, Life Orientation, Mathematics, Information Technology, History, Life Sciences, Computer Applications Technology",Invalid,Learner is not eligible for Information Technology. | Learner is not eligible for History.
1097,Sam Jones,"English, Life Orientation, Mathematical Literacy, Accounting, Business Studies, Visual Arts, History",Invalid,Learner is not eligible for History.
1098,Bob Smith,"English, Life Orientation, Mathematics, Computer Applications Technology, Accounting, Life Sciences, History",Invalid,Learner is not eligible for Accounting. | Learner is not eligible for History.
1099,Rita Miller,"English, Life Orientation, Mathematics, Physical Sciences, Information Technology, Life Sciences, Accounting",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Physical Sciences. | Learner is not eligible for Information Technology. | Learner is not eligible for Life Sciences. | Learner is not eligible for Accounting.
1100,Peggy Miller,"English, Life Orientation, Mathematics, Information Technology, Computer Applications Technology, History, Visual Arts",Invalid,Learner is not eligible for History.
