student_id,name,invalid_subject,reason
1051,Peggy Smith,Information Technology,Learner does not meet the minimum requirement.
1051,Peggy Smith,Computer Applications Technology,Learner does not meet the minimum requirement.
1051,Peggy Smith,Physical Sciences,Learner does not meet the minimum requirement.
1052,Alice Gonzalez,Mathematics,Learner does not meet the minimum requirement.
1052,Alice Gonzalez,Life Sciences,Learner does not meet the minimum requirement.
1052,Alice Gonzalez,Information Technology,Learner does not meet the minimum requirement.
1052,Alice Gonzalez,Accounting,Learner does not meet the minimum requirement.
1053,Mallory Thomas,Physical Sciences,Learner does not meet the minimum requirement.
1053,Mallory Thomas,Life Sciences,Learner does not meet the minimum requirement.
1054,Sam Gonzalez,Computer Applications Technology,Learner does not meet the minimum requirement.
1054,Sam Gonzalez,Life Sciences,Learner does not meet the minimum requirement.
1056,Eve Johnson,Mathematics,Learner does not meet the minimum requirement.
1056,Eve Johnson,Geography,Learner does not meet the minimum requirement.
1056,Eve Johnson,Computer Applications Technology,Learner does not meet the minimum requirement.
1057,Frank Taylor,Physical Sciences,Learner does not meet the minimum requirement.
1057,Frank Taylor,Life Sciences,Learner does not meet the minimum requirement.
1058,Charlie Anderson,Information Technology,Learner does not meet the minimum requirement.
1059,Ivan Taylor,History,Learner does not meet the minimum requirement.
1059,Ivan Taylor,Geography,Learner does not meet the minimum requirement.
1060,Sam Miller,Mathematics,Learner does not meet the minimum requirement.
1060,Sam Miller,Physical Sciences,Learner does not meet the minimum requirement.
1060,Sam Miller,Information Technology,Learner does not meet the minimum requirement.
1063,Frank Smith,Life Sciences,Learner does not meet the minimum requirement.
1064,Bob Garcia,Accounting,Learner does not meet the minimum requirement.
1064,Bob Garcia,Life Sciences,Learner does not meet the minimum requirement.
1064,Bob Garcia,Geography,Learner does not meet the minimum requirement.
1065,Trudy Taylor,Information Technology,Learner does not meet the minimum requirement.
1065,Trudy Taylor,Visual Arts,Learner does not meet the minimum requirement.
1066,Frank Brown,Geography,Learner does not meet the minimum requirement.
1066,Frank Brown,Visual Arts,Learner does not meet the minimum requirement.
1067,Charlie Garcia,Mathematics,Learner does not meet the minimum requirement.
1067,Charlie Garcia,Information Technology,Learner does not meet the minimum requirement.
1068,Nina Hernandez,Business Studies,Learner does not meet the minimum requirement.
1068,Nina Hernandez,Accounting,Learner does not meet the minimum requirement.
1069,Grace Hernandez,Business Studies,Learner does not meet the minimum requirement.
1070,Alice Garcia,Physical Sciences,Learner does not meet the minimum requirement.
1070,Alice Garcia,Accounting,Learner does not meet the minimum requirement.
1071,Ivan Rodriguez,Life Sciences,Learner does not meet the minimum requirement.
1071,Ivan Rodriguez,Accounting,Learner does not meet the minimum requirement.
1072,Alice Johnson,Mathematics,Learner does not meet the minimum requirement.
1072,Alice Johnson,Physical Sciences,Learner does not meet the minimum requirement.
1072,Alice Johnson,Visual Arts,Learner does not meet the minimum requirement.
1073,Peggy Davis,Accounting,Learner does not meet the minimum requirement.
1073,Peggy Davis,Computer Applications Technology,Learner does not meet the minimum requirement.
1074,Alice Jones,History,Learner does not meet the minimum requirement.
1074,Alice Jones,Information Technology,Learner does not meet the minimum requirement.
1075,Nina Thomas,Life Sciences,Learner does not meet the minimum requirement.
1075,Nina Thomas,Physical Sciences,Learner does not meet the minimum requirement.
1075,Nina Thomas,Computer Applications Technology,Learner does not meet the minimum requirement.
1076,Karl Gonzalez,Geography,Learner does not meet the minimum requirement.
1079,Trudy Lopez,Physical Sciences,Learner does not meet the minimum requirement.
1079,Trudy Lopez,Information Technology,Learner does not meet the minimum requirement.
1080,Heidi Wilson,Business Studies,Learner does not meet the minimum requirement.
1081,Sam Jackson,Life Sciences,Learner does not meet the minimum requirement.
1082,Judy Gonzalez,History,Learner does not meet the minimum requirement.
1082,Judy Gonzalez,Visual Arts,Learner does not meet the minimum requirement.
1083,Peggy Lopez,Information Technology,Learner does not meet the minimum requirement.
1083,Peggy Lopez,Computer Applications Technology,Learner does not meet the minimum requirement.
1085,Trudy Martinez,Information Technology,Learner does not meet the minimum requirement.
1087,Oscar Thomas,Visual Arts,Learner does not meet the minimum requirement.
1087,Oscar Thomas,Information Technology,Learner does not meet the minimum requirement.
1088,Nina Jackson,Visual Arts,Learner does not meet the minimum requirement.
1088,Nina Jackson,Information Technology,Learner does not meet the minimum requirement.
1088,Nina Jackson,History,Learner does not meet the minimum requirement.
1088,Nina Jackson,Life Sciences,Learner does not meet the minimum requirement.
1089,Charlie Moore,Life Sciences,Learner does not meet the minimum requirement.
1091,Nina Taylor,Business Studies,Learner does not meet the minimum requirement.
1092,Trudy Moore,History,Learner does not meet the minimum requirement.
1093,Ivan Rodriguez,Mathematics,Learner does not meet the minimum requirement.
1093,Ivan Rodriguez,Visual Arts,Learner does not meet the minimum requirement.
1093,Ivan Rodriguez,Computer Applications Technology,Learner does not meet the minimum requirement.
1095,Eve Davis,Mathematics,Learner does not meet the minimum requirement.
1095,Eve Davis,History,Learner does not meet the minimum requirement.
1095,Eve Davis,Information Technology,Learner does not meet the minimum requirement.
1095,Eve Davis,Geography,Learner does not meet the minimum requirement.
1096,Peggy Gonzalez,Information Technology,Learner does not meet the minimum requirement.
1096,Peggy Gonzalez,History,Learner does not meet the minimum requirement.
1097,Sam Jones,History,Learner does not meet the minimum requirement.
1098,Bob Smith,Accounting,Learner does not meet the minimum requirement.
1098,Bob Smith,History,Learner does not meet the minimum requirement.
1099,Rita Miller,Mathematics,Learner does not meet the minimum requirement.
1099,Rita Miller,Physical Sciences,Learner does not meet the minimum requirement.
1099,Rita Miller,Information Technology,Learner does not meet the minimum requirement.
1099,Rita Miller,Life Sciences,Learner does not meet the minimum requirement.
1099,Rita Miller,Accounting,Learner does not meet the minimum requirement.
1100,Peggy Miller,History,Learner does not meet the minimum requirement.
